
PWU,20080714070621.42,S
QCH,20080714070602.92,P
HSH,20080714071001.14,P
HSH,20080714071010.38,S
MXI,20080714070959.22,P
MXI,20080714071007.28,S
SPA,20080714071013.42,P
SPA,20080714071029.94,S
XJI,20080714071002.36,P
XJI,20080714071012.16,S
YZP,20080714070952.14,P
YZP,20080714070956.66,S
HSH,20080714071345.02,P
HSH,20080714071359.18,S
JJS,20080714071338.00,P
JJS,20080714071346.76,S
JMG,20080714071352.02,P
JMG,20080714071410.78,S
MXI,20080714071329.76,P
MXI,20080714071333.66,S
QCH,20080714071352.48,P
QCH,20080714071412.36,S
XJI,20080714071353.42,P
XJI,20080714071411.88,S
HSH,20080714072344.64,P
HSH,20080714072355.42,S
JJS,20080714072347.22,P
JJS,20080714072401.94,S
MXI,20080714072337.56,P
MXI,20080714072343.60,S
PWU,20080714072355.42,P
PWU,20080714072414.26,S
SPA,20080714072354.08,P
SPA,20080714072411.90,S
XJI,20080714072347.74,P
XJI,20080714072359.44,S
YZP,20080714072334.96,P
YZP,20080714072345.10,S
WXT,20080714073956.16,P
WXT,20080714074014.92,S
HSH,20080714073948.86,P
HSH,20080714073959.90,S
JJS,20080714073950.70,P
JJS,20080714074003.72,S
JMG,20080714073957.62,P
JMG,20080714074017.58,S
MXI,20080714073936.46,P
MXI,20080714073939.56,S
PWU,20080714073946.34,P
PWU,20080714073956.10,S
QCH,20080714073956.14,P
QCH,20080714074012.70,S
SPA,20080714073948.78,P
SPA,20080714073959.32,S
YZP,20080714073953.96,P
WXT,20080713082747.44,P
WXT,20080713082805.54,S
HSH,20080713082738.16,P
HSH,20080713082749.88,S
JJS,20080713082735.50,P
JJS,20080713082745.86,S
JMG,20080713082747.62,P
JMG,20080713082807.48,S
MXI,20080713082723.16,P
MXI,20080713082725.98,S
PWU,20080713082737.72,P
PWU,20080713082749.68,S
QCH,20080713082746.90,P
QCH,20080713082806.68,S
SPA,20080713082744.18,P
SPA,20080713082753.96,S
XJI,20080713082748.36,P
XJI,20080713082807.08,S
YGD,20080713082746.52,P
YGD,20080713082805.96,S
YZP,20080713082735.72,P
WXT,20080713112513.06,P
WXT,20080713112520.64,S
LUYA,20080713112521.78,P
MIAX,20080713112529.02,P
PWU,20080713112513.74,P
PWU,20080713112522.62,S
QCH,20080713112504.30,P
QCH,20080713112506.46,S
SPA,20080713112527.98,P
SPA,20080713112546.06,S
WXT,20080714005816.92,P
JJS,20080714005811.80,P
JMG,20080714005809.02,P
JMG,20080714005820.04,S
PWU,20080714005805.08,P
PWU,20080714005810.70,S
JJS,20080714081601.42,P
JJS,20080714081610.76,S
PWU,20080714081551.50,P
PWU,20080714081553.80,S
QCH,20080714081558.32,P
YZP,20080714081610.42,P
WXT,20080714081801.82,P
WXT,20080714081804.38,S
LUYA,20080714081815.12,P
LUYA,20080714081831.58,S
JMG,20080714081801.44,P
JMG,20080714081808.60,S
MXI,20080714081814.82,P
MXI,20080714081830.12,S
PWU,20080714081755.30,P
PWU,20080714081758.12,S
QCH,20080714081754.74,P
QCH,20080714081757.72,S
SPA,20080714081813.60,P
SPA,20080714081828.52,S
HSH,20080714082807.08,P
HSH,20080714082821.02,S
JJS,20080714082807.92,P
JJS,20080714082824.58,S
MXI,20080714082801.60,P
MXI,20080714082811.56,S
XJI,20080714082802.36,P
XJI,20080714082811.96,S
YGD,20080714082809.36,P
YGD,20080714082822.76,S
YZP,20080714082753.14,P
YZP,20080714082757.08,S
LUYA,20080714083004.78,P
LUYA,20080714083020.36,S
JMG,20080714082952.62,P
JMG,20080714082958.50,S
PWU,20080714082946.44,P
PWU,20080714082951.50,S
QCH,20080714082946.88,P
HSH,20080714083407.62,P
HSH,20080714083412.70,S
JJS,20080714083428.82,P
JJS,20080714083449.74,S
MXI,20080714083413.66,P
MXI,20080714083422.98,S
SPA,20080714083421.32,P
SPA,20080714083435.30,S
XJI,20080714083416.74,P
XJI,20080714083427.62,S
YZP,20080714083418.16,P
LUYA,20080714091133.54,P
LUYA,20080714091148.50,S
MIAX,20080714091138.02,P
MIAX,20080714091158.64,S
JMG,20080714091117.68,P
JMG,20080714091123.12,S
PWU,20080714091118.24,P
PWU,20080714091124.06,S
QCH,20080714091113.10,P
QCH,20080714091115.72,S
SPA,20080714091132.94,P
SPA,20080714091149.14,S
LUYA,20080714094457.38,P
LUYA,20080714094508.28,S
MIAX,20080714094504.00,P
JMG,20080714094449.78,P
JMG,20080714094458.34,S
PWU,20080714094454.38,P
PWU,20080714094505.08,S
QCH,20080714094443.60,P
QCH,20080714094446.26,S
SPA,20080714094508.58,P
SPA,20080714094527.76,S
LUYA,20080714100412.72,P
LUYA,20080714100428.52,S
JMG,20080714100358.08,P
JMG,20080714100405.58,S
MXI,20080714100412.34,P
MXI,20080714100430.12,S
PWU,20080714100352.26,P
PWU,20080714100355.54,S
QCH,20080714100351.88,P
QCH,20080714100354.66,S
SPA,20080714100411.98,P
SPA,20080714100424.70,S
LUYA,20080714100743.70,P
LUYA,20080714100759.28,S
JMG,20080714100722.94,P
JMG,20080714100727.62,S
MXI,20080714100743.90,P
MXI,20080714100803.46,S
PWU,20080714100732.38,P
PWU,20080714100738.28,S
QCH,20080714100724.00,P
QCH,20080714100728.14,S
XCO,20080714100744.52,P
XCO,20080714100804.86,S
HSH,20080714102651.36,P
HSH,20080714102704.72,S
JJS,20080714102646.12,P
JJS,20080714102656.96,S
MXI,20080714102640.62,P
MXI,20080714102646.42,S
SPA,20080714102659.18,P
SPA,20080714102717.52,S
YGD,20080714102649.88,P
