WDT,20080701080852.06,P
WDT,20080701080902.08,S
WXT,20080701080849.42,P
WXT,20080701080900.10,S
LUYA,20080701080856.84,P
LUYA,20080701080906.98,S
MIAX,20080701080901.40,P
JMG,20080701080846.18,P
JMG,20080701080852.50,S
MXI,20080701080905.76,P
MXI,20080701080924.32,S
PWU,20080701080850.66,P
PWU,20080701080900.80,S
QCH,20080701080840.08,P
QCH,20080701080842.46,S
SPA,20080701080903.98,P
SPA,20080701080922.06,S
WDT,20080701081907.90,P
WDT,20080701081918.02,S
WXT,20080701081905.36,P
WXT,20080701081914.16,S
MIAX,20080701081917.56,P
JMG,20080701081901.72,P
JMG,20080701081908.42,S
PWU,20080701081906.62,P
PWU,20080701081916.72,S
QCH,20080701081856.10,P
QCH,20080701081858.30,S
SPA,20080701081921.06,P
SPA,20080701081942.96,S
WDT,20080701082801.58,P
WDT,20080701082818.56,S
WXT,20080701082754.56,P
WXT,20080701082804.04,S
LUYA,20080701082809.30,P
LUYA,20080701082832.00,S
MIAX,20080701082813.72,P
MIAX,20080701082838.12,S
JJS,20080701082804.58,P
JJS,20080701082823.86,S
JMG,20080701082750.92,P
JMG,20080701082758.84,S
MXI,20080701082801.76,P
MXI,20080701082816.52,S
PWU,20080701082747.84,P
PWU,20080701082753.10,S
QCH,20080701082748.88,P
QCH,20080701082755.08,S
SPA,20080701082804.56,P
SPA,20080701082818.26,S
XCO,20080701082807.48,P
XCO,20080701082827.34,S
YZP,20080701082813.52,P
YZP,20080701082836.98,S
WXT,20080701083456.20,P
HSH,20080701083435.74,P
HSH,20080701083446.22,S
JJS,20080701083436.48,P
JJS,20080701083449.98,S
MXI,20080701083435.50,P
MXI,20080701083440.46,S
PWU,20080701083445.70,P
PWU,20080701083504.56,S
SPA,20080701083445.20,P
SPA,20080701083503.88,S
XJI,20080701083435.96,P
XJI,20080701083447.64,S
YZP,20080701083430.28,P
WDT,20080701091128.26,P
WDT,20080701091138.80,S
WXT,20080701091126.12,P
WXT,20080701091136.76,S
LUYA,20080701091130.38,P
LUYA,20080701091142.70,S
MIAX,20080701091137.20,P
JMG,20080701091123.72,P
JMG,20080701091130.86,S
PWU,20080701091127.96,P
PWU,20080701091138.66,S
QCH,20080701091117.24,P
QCH,20080701091120.12,S
WDT,20080701091304.98,P
WDT,20080701091316.60,S
WXT,20080701091259.30,P
WXT,20080701091307.14,S
LUYA,20080701091311.64,P
LUYA,20080701091328.56,S
MIAX,20080701091317.14,P
MIAX,20080701091338.86,S
HSH,20080701091321.60,P
HSH,20080701091344.78,S
JJS,20080701091316.68,P
JJS,20080701091335.76,S
JMG,20080701091256.72,P
JMG,20080701091303.46,S
MXI,20080701091311.80,P
MXI,20080701091327.86,S
PWU,20080701091256.30,P
PWU,20080701091301.50,S
QCH,20080701091251.58,P
QCH,20080701091254.20,S
SPA,20080701091311.10,P
SPA,20080701091327.82,S
XCO,20080701091317.38,P
XCO,20080701091338.78,S
YZP,20080701091324.12,P
YZP,20080701091351.06,S
WDT,20080701094121.70,P
WDT,20080701094137.30,S
WXT,20080701094117.70,P
WXT,20080701094131.34,S
LUYA,20080701094123.52,P
LUYA,20080701094140.20,S
MIAX,20080701094128.08,P
MIAX,20080701094152.48,S
JJS,20080701094129.04,P
JJS,20080701094146.18,S
JMG,20080701094103.02,P
JMG,20080701094105.84,S
MXI,20080701094128.42,P
MXI,20080701094146.84,S
PWU,20080701094114.98,P
PWU,20080701094125.06,S
QCH,20080701094107.78,P
QCH,20080701094112.10,S
SPA,20080701094129.98,P
SPA,20080701094150.92,S
XCO,20080701094126.56,P
XCO,20080701094146.76,S
WDT,20080701095048.04,P
WDT,20080701095058.22,S
WXT,20080701095045.36,P
WXT,20080701095057.64,S
MIAX,20080701095057.48,P
JMG,20080701095041.76,P
JMG,20080701095047.74,S
PWU,20080701095046.24,P
PWU,20080701095055.98,S
QCH,20080701095035.98,P
QCH,20080701095038.24,S
WDT,20080701095504.32,P
WDT,20080701095514.02,S
WXT,20080701095502.40,P
WXT,20080701095511.08,S
LUYA,20080701095507.18,P
LUYA,20080701095518.64,S
MIAX,20080701095513.60,P
MIAX,20080701095531.08,S
JMG,20080701095500.26,P
JMG,20080701095507.98,S
PWU,20080701095504.42,P
PWU,20080701095514.52,S
QCH,20080701095454.04,P
QCH,20080701095456.82,S
WDT,20080701111320.92,P
WDT,20080701111339.22,S
WXT,20080701111313.30,P
WXT,20080701111321.88,S
LUYA,20080701111329.34,P
LUYA,20080701111350.02,S
MIAX,20080701111333.74,P
JJS,20080701111323.78,P
JJS,20080701111341.90,S
JMG,20080701111312.06,P
JMG,20080701111321.02,S
PWU,20080701111305.04,P
PWU,20080701111308.30,S
QCH,20080701111309.46,P
QCH,20080701111316.30,S
SPA,20080701111319.78,P
SPA,20080701111333.68,S
YZP,20080701111332.94,P
YZP,20080701111355.84,S
WDT,20080701112416.16,P
WDT,20080701112427.18,S
WXT,20080701112411.34,P
WXT,20080701112419.06,S
LUYA,20080701112421.98,P
LUYA,20080701112436.32,S
MIAX,20080701112427.12,P
MIAX,20080701112446.66,S
JJS,20080701112428.38,P
JJS,20080701112449.26,S
JMG,20080701112407.26,P
JMG,20080701112413.32,S
PWU,20080701112409.52,P
PWU,20080701112416.20,S
SPA,20080701112424.32,P
SPA,20080701112441.38,S
WDT,20080701114549.64,P
WDT,20080701114612.18,S
WXT,20080701114540.86,P
WXT,20080701114600.88,S
HSH,20080701114538.66,P
HSH,20080701114554.16,S
JJS,20080701114532.98,P
JJS,20080701114544.04,S
JMG,20080701114539.72,P
JMG,20080701114555.40,S
MXI,20080701114524.78,P
MXI,20080701114529.30,S
PWU,20080701114531.00,P
PWU,20080701114540.62,S
QCH,20080701114539.94,P
QCH,20080701114555.76,S
SPA,20080701114537.62,P
SPA,20080701114549.56,S
XJI,20080701114550.82,P
XJI,20080701114613.40,S
YGD,20080701114547.08,P
YGD,20080701114607.14,S
YZP,20080701114538.20,P
WXT,20080701115135.10,P
WXT,20080701115157.58,S
HSH,20080701115119.66,P
HSH,20080701115131.84,S
JJS,20080701115116.86,P
JJS,20080701115127.08,S
JMG,20080701115133.02,P
JMG,20080701115156.46,S
MXI,20080701115108.76,P
MXI,20080701115113.38,S
PWU,20080701115125.44,P
PWU,20080701115142.10,S
