HSH ,20080801004924.398,P 
HSH ,20080801004939.398,S 
HSH ,20080801005906.500,P 
HSH ,20080801005921.199,S 
HSH ,20080801012050.898,P 
HSH ,20080801012106.301,S 
HSH ,20080801013438.602,P 
HSH ,20080801013453.301,S 
HSH ,20080801014453.398,P 
HSH ,20080801014508.699,S 
MIAX,20080801003258.801,P 
MIAX,20080801003315.602,S 
MIAX,20080801040614.102,P 
MIAX,20080801040629.000,S 
MIAX,20080801060513.602,P 
MIAX,20080801060534.398,S 
MIAX,20080802095653.000,P 
MIAX,20080802095708.102,S 
MIAX,20080802100725.801,P 
MIAX,20080802100740.801,S 
LUYA,20080801022924.602,P 
LUYA,20080801022935.000,S 
LUYA,20080801030128.000,P 
LUYA,20080801030142.602,S 
LUYA,20080801040607.199,P 
LUYA,20080801040616.699,S 
LUYA,20080801071340.801,P 
LUYA,20080801071352.801,S 
LUYA,20080801090021.801,P 
LUYA,20080801090031.898,S 
JMG ,20080801000122.801,P 
JMG ,20080801000133.898,S 
JMG ,20080801002248.398,P 
JMG ,20080801002255.602,S 
JMG ,20080801003243.801,P 
JMG ,20080801003250.398,S 
JMG ,20080801004601.500,P 
JMG ,20080801012340.699,P 
JMG ,20080801012357.000,S 
JMG ,20080801013129.699,P 
JLO ,20080802210921.000,P 
JLO ,20080802210934.102,S 
JLO ,20080803030359.000,P 
JLO ,20080803030413.102,S 
JLO ,20080804001235.602,P 
JLO ,20080804001249.301,S 
JLO ,20080805100339.898,P 
JLO ,20080805100354.699,S 
JLO ,20080805170727.398,P 
JLO ,20080805170743.801,S 
JLI ,20080801172130.199,P 
JLI ,20080801172131.000,S 
JLI ,20080802194133.500,P 
JLI ,20080802194155.199,S 
JLI ,20080803021336.898,P 
JLI ,20080803021353.500,S 
JLI ,20080803042901.199,P 
JLI ,20080803042905.898,S 
JLI ,20080803203625.199,P 
JLI ,20080803203630.602,S 
JJS ,20080801002307.602,P 
JJS ,20080801002327.500,S 
JJS ,20080801004617.801,P 
JJS ,20080801004635.199,S 
JJS ,20080801013432.000,P 
JJS ,20080801013442.301,S 
JJS ,20080801024258.602,P 
JJS ,20080801024309.602,S 
JJS ,20080801025728.602,P 
JJS ,20080801025743.199,S 
HYS ,20080804000302.500,P 
HYS ,20080804000305.000,S 
HYS ,20080804200639.699,P 
HYS ,20080804200641.301,S 
HYS ,20080805205003.102,P 
HYS ,20080805205005.000,S 
HYS ,20080806114342.699,S 
HYS ,20080809195033.102,P 
HYS ,20080809195035.301,S 
HYS ,20080812095832.699,P 
HWS ,20080803021329.199,P 
HWS ,20080803021340.102,S 
HWS ,20080803042900.398,P 
HWS ,20080803042903.898,S 
HWS ,20080803203625.301,P 
HWS ,20080803203630.398,S 
HWS ,20080807195827.102,P 
HWS ,20080807195833.102,S 
HWS ,20080809033819.602,P 
HWS ,20080809033825.801,S 
HUP ,20080831100902.000,P 
HUP ,20080831100911.199,S 
HUP ,20080831152031.699,P 
HUP ,20080831152041.398,S 
HUP ,20080831152410.000,P 
HUP ,20080831152419.602,S 
HUP ,20080831163124.301,P 
HUP ,20080831163133.000,S 
HUP ,20080831164105.898,P 
HUP ,20080831164115.602,S 
