WDT,20080701080851.94,P
WDT,20080701080901.90,S
WXT,20080701080849.30,P
WXT,20080701080857.84,S
LUYA,20080701080856.86,P
LUYA,20080701080906.46,S
MIAX,20080701080901.30,P
MIAX,20080701080920.32,S
JMG,20080701080846.06,P
JMG,20080701080852.12,S
MXI,20080701080905.64,P
MXI,20080701080923.62,S
PWU,20080701080850.54,P
PWU,20080701080900.36,S
QCH,20080701080839.80,P
QCH,20080701080842.14,S
SPA,20080701080904.96,P
SPA,20080701080924.34,S
WDT,20080701081131.68,P
WDT,20080701081141.42,S
WXT,20080701081127.02,P
WXT,20080701081133.68,S
LUYA,20080701081138.84,P
MIAX,20080701081144.40,P
MIAX,20080701081205.80,S
JMG,20080701081127.00,P
JMG,20080701081133.92,S
PWU,20080701081126.52,P
PWU,20080701081133.24,S
QCH,20080701081119.38,P
QCH,20080701081120.58,S
YGD,20080701081158.86,P
WDT,20080701081748.24,P
WDT,20080701081757.76,S
WXT,20080701081745.38,P
WXT,20080701081753.32,S
PWU,20080701081746.68,P
PWU,20080701081756.76,S
QCH,20080701081736.48,P
QCH,20080701081737.94,S
WDT,20080701081907.72,P
WDT,20080701081917.66,S
WXT,20080701081905.24,P
WXT,20080701081913.80,S
MIAX,20080701081917.40,P
MIAX,20080701081936.22,S
JMG,20080701081901.60,P
JMG,20080701081908.26,S
MXI,20080701081917.66,P
PWU,20080701081906.50,P
PWU,20080701081916.34,S
QCH,20080701081856.06,P
QCH,20080701081858.14,S
SPA,20080701081917.86,P
SPA,20080701081940.30,S
WDT,20080701082801.46,P
WDT,20080701082816.44,S
WXT,20080701082754.44,P
WXT,20080701082803.78,S
LUYA,20080701082809.14,P
LUYA,20080701082827.42,S
MIAX,20080701082813.60,P
MIAX,20080701082838.36,S
JJS,20080701082804.30,P
JJS,20080701082823.22,S
JMG,20080701082750.82,P
JMG,20080701082757.94,S
MXI,20080701082801.64,P
MXI,20080701082813.68,S
PWU,20080701082747.70,P
PWU,20080701082752.54,S
QCH,20080701082748.76,P
QCH,20080701082754.58,S
SPA,20080701082804.50,P
SPA,20080701082813.06,S
XCO,20080701082807.36,P
XCO,20080701082826.06,S
MXI,20080701082926.30,P
MXI,20080701082935.12,S
XCO,20080701082944.38,P
XJI,20080701082935.52,P
XJI,20080701082948.60,S
YZP,20080701082922.76,P
YZP,20080701082927.80,S
HSH,20080701083435.62,P
HSH,20080701083446.20,S
MXI,20080701083424.92,P
MXI,20080701083435.24,S
SPA,20080701083436.62,P
SPA,20080701083504.46,S
XJI,20080701083435.84,P
XJI,20080701083447.76,S
YGD,20080701083431.02,P
YZP,20080701083422.74,P
YZP,20080701083425.78,S
WDT,20080701084339.26,P
WDT,20080701084349.62,S
MIAX,20080701084349.50,P
MIAX,20080701084409.18,S
JMG,20080701084331.26,P
JMG,20080701084336.82,S
MXI,20080701084347.14,P
PWU,20080701084335.04,P
PWU,20080701084343.28,S
QCH,20080701084325.20,P
QCH,20080701084326.30,S
XCO,20080701084348.02,P
XCO,20080701084414.34,S
JMG,20080701084510.14,P
JMG,20080701084517.16,S
PWU,20080701084511.84,P
PWU,20080701084518.50,S
QCH,20080701084502.42,P
QCH,20080701084507.40,S
YGD,20080701084538.48,P
JMG,20080701085501.38,P
PWU,20080701085501.64,P
PWU,20080701085511.84,S
QCH,20080701085450.92,P
QCH,20080701085454.16,S
JMG,20080701085941.38,P
JMG,20080701085957.14,S
MXI,20080701085930.10,P
MXI,20080701085937.02,S
PWU,20080701085933.94,P
PWU,20080701085945.42,S
QCH,20080701085941.46,P
QCH,20080701085956.94,S
XCO,20080701085947.92,P
XJI,20080701085952.20,P
YZP,20080701085941.48,P
JMG,20080701090747.20,P
JMG,20080701090752.84,S
PWU,20080701090747.28,P
PWU,20080701090753.10,S
QCH,20080701090741.98,P
QCH,20080701090745.58,S
WDT,20080701091128.14,P
WDT,20080701091138.50,S
WXT,20080701091126.00,P
WXT,20080701091135.44,S
LUYA,20080701091130.24,P
LUYA,20080701091142.48,S
MIAX,20080701091137.06,P
MIAX,20080701091157.88,S
JMG,20080701091123.58,P
JMG,20080701091130.84,S
PWU,20080701091127.82,P
PWU,20080701091138.50,S
QCH,20080701091117.12,P
QCH,20080701091119.92,S
WDT,20080701091304.84,P
WDT,20080701091316.36,S
WXT,20080701091259.18,P
WXT,20080701091306.88,S
LUYA,20080701091310.76,P
LUYA,20080701091328.08,S
MIAX,20080701091317.02,P
